UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;predictability;trust;mental demand;buildingOpacity;vehicleOpacity;roadOpacity
1;-1;-1;2026-07-14 10:42:38;1;sampling;FALSE;-2.0;5.0;16.0;0.068;0.225;0.699
1;-1;-1;2026-07-14 10:43:22;2;sampling;FALSE;-3.0;3.0;18.0;0.063;0.375;0.03
1;-1;-1;2026-07-14 10:44:04;3;sampling;FALSE;0.0;3.0;18.0;0.147;0.339;0.27
1;-1;-1;2026-07-14 10:44:49;4;sampling;FALSE;-2.0;4.0;16.0;0.273;0.69;0.389
1;-1;-1;2026-07-14 10:45:14;5;sampling;FALSE;-3.0;4.0;17.0;0.786;0.644;0.202
1;-1;-1;2026-07-14 10:46:03;6;optimization;FALSE;0.0;5.0;14.0;0.051;0.165;0.866
1;-1;-1;2026-07-14 10:46:55;7;optimization;FALSE;-1.0;5.0;17.0;0.211;0.107;0.849
1;-1;-1;2026-07-14 10:47:46;8;optimization;FALSE;1.0;6.0;15.0;0.029;0.318;0.889
1;-1;-1;2026-07-14 10:48:21;9;optimization;FALSE;0.0;7.0;14.0;0.087;0.388;0.949
1;-1;-1;2026-07-14 10:48:53;10;optimization;FALSE;3.0;8.0;12.0;0.082;0.492;0.9
1;-1;-1;2026-07-14 10:49:34;11;optimization;FALSE;5.0;9.0;11.0;0.093;0.583;0.886
1;-1;-1;2026-07-14 10:50:08;12;optimization;FALSE;5.0;10.0;9.0;0.062;0.708;0.881
1;-1;-1;2026-07-14 10:50:43;13;optimization;TRUE;7.0;10.0;9.0;0.009;0.788;0.963
1;-1;-1;2026-07-14 10:51:24;14;optimization;FALSE;7.0;10.0;9.0;0.098;0.814;0.992
1;-1;-1;2026-07-14 10:51:48;15;optimization;FALSE;7.0;10.0;9.0;0.063;0.841;0.899
