UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;aesthetics;trust;mental demand;buildingOpacity;vehicleOpacity;roadOpacity
1;-1;-1;2026-07-15 21:53:05;1;sampling;FALSE;2.0;5.0;10.0;0.068;0.225;0.699
1;-1;-1;2026-07-15 21:53:27;2;sampling;FALSE;2.0;5.0;16.0;0.063;0.375;0.03
1;-1;-1;2026-07-15 21:53:52;3;sampling;FALSE;1.0;5.0;14.0;0.147;0.339;0.27
1;-1;-1;2026-07-15 21:54:22;4;sampling;FALSE;3.0;6.0;12.0;0.273;0.69;0.389
1;-1;-1;2026-07-15 21:55:24;5;sampling;FALSE;3.0;6.0;14.0;0.786;0.644;0.202
1;-1;-1;2026-07-15 21:56:04;6;optimization;FALSE;3.0;9.0;9.0;0.8;0.742;0.655
1;-1;-1;2026-07-15 21:57:12;7;optimization;FALSE;3.0;11.0;8.0;0.875;0.905;0.812
1;-1;-1;2026-07-15 21:57:41;8;optimization;FALSE;2.0;14.0;12.0;1.0;1.0;1.0
1;-1;-1;2026-07-15 21:58:19;9;optimization;FALSE;2.0;12.0;8.0;1.0;0.831;0.793
1;-1;-1;2026-07-15 21:58:57;10;optimization;FALSE;3.0;13.0;7.0;0.322;1.0;0.77
1;-1;-1;2026-07-15 21:59:32;11;optimization;FALSE;3.0;13.0;9.0;0.713;1.0;0.887
1;-1;-1;2026-07-15 22:00:00;12;optimization;FALSE;5.0;13.0;9.0;0.623;1.0;0.804
1;-1;-1;2026-07-15 22:00:21;13;optimization;FALSE;6.0;14.0;7.0;0.591;1.0;1.0
1;-1;-1;2026-07-15 22:00:48;14;optimization;FALSE;6.0;13.0;6.0;0.547;0.898;1.0
1;-1;-1;2026-07-15 22:01:09;15;optimization;TRUE;6.0;14.0;5.0;0.472;1.0;1.0
